;KDL1 S/N 21378 Software 6
;Operating Hours U1 = 0:13:33
;Operating Hours U2 = 0:20:21
;Operating Hours U3 = 0:15:15
;Activity Counter U1 = 90
;Activity Counter U2 = 6
;Activity Counter U3 = 8
;Event 2 71 0: Ubat = 4,16V
;DL Temp 22,00°C
30.01.2017 12:05:08,000	57,000	-34,25	-33,50	-33,25	0,03	0,08	0,09
30.01.2017 12:05:09,000	58,000	-34,25	-33,50	-33,25	0,03	0,08	0,09
30.01.2017 12:05:10,000	59,000	-34,25	-33,50	-33,25	0,03	0,08	0,09
30.01.2017 12:05:11,000	60,000	-34,25	-33,50	-33,25	0,03	0,08	0,09
30.01.2017 12:05:12,000	61,000	-34,25	-33,50	-33,25	0,03	0,08	0,09
30.01.2017 12:05:13,000	62,000	-34,25	-33,50	-33,25	0,03	0,08	0,09
30.01.2017 12:05:14,000	63,000	-34,25	-33,50	-33,25	0,03	0,08	0,09
30.01.2017 12:05:15,000	64,000	-34,25	-33,50	-33,25	0,03	0,08	0,09
;Event 2 71 0: Ubat = 4,16V
;DL Temp 20,75°C
30.01.2017 16:47:18,000	65,000	-35,50	-34,75	-34,50	0,09	25,24	9,98
30.01.2017 16:47:19,000	66,000	-35,50	-34,75	-34,50	0,09	25,24	9,98
30.01.2017 16:47:20,000	67,000	-35,50	-34,75	-34,50	0,09	25,24	9,98
30.01.2017 16:47:21,000	68,000	-35,50	-34,75	-34,50	0,97	26,24	9,98
30.01.2017 16:47:22,000	69,000	-35,50	-34,75	-34,50	3,63	26,24	9,98
30.01.2017 16:47:23,000	70,000	-35,50	-34,75	-34,50	4,16	26,24	9,98
30.01.2017 16:47:24,000	71,000	-35,50	-34,75	-34,50	4,80	26,24	9,98
30.01.2017 16:47:25,000	72,000	-35,50	-34,75	-34,50	4,31	26,24	9,98
30.01.2017 16:47:26,000	73,000	-35,50	-34,75	-34,50	0,09	26,24	9,98
30.01.2017 16:47:27,000	74,000	-35,50	-34,75	-34,50	2,75	26,24	9,98
30.01.2017 16:47:28,000	75,000	-35,50	-34,75	-34,50	5,20	26,24	9,98
30.01.2017 16:47:29,000	76,000	-35,50	-34,75	-34,50	5,97	26,24	9,98
30.01.2017 16:47:30,000	77,000	-35,50	-34,75	-34,50	6,10	26,24	9,98
30.01.2017 16:47:31,000	78,000	-35,50	-34,75	-34,50	6,24	26,24	9,98
30.01.2017 16:47:32,000	79,000	-35,50	-34,75	-34,50	6,24	26,24	9,98
30.01.2017 16:47:33,000	80,000	-35,50	-34,75	-34,50	6,24	26,24	9,98
30.01.2017 16:47:34,000	81,000	-35,50	-34,75	-34,50	6,73	0,00	9,98
30.01.2017 16:47:35,000	82,000	-35,50	-34,75	-34,50	6,73	0,00	9,98
30.01.2017 16:47:36,000	83,000	-35,50	-34,75	-34,50	6,73	0,00	9,98
30.01.2017 16:47:37,000	84,000	-35,50	-34,75	-34,50	6,73	0,00	6,37
30.01.2017 16:47:38,000	85,000	-35,50	-34,75	-34,50	0,00	0,00	0,00
30.01.2017 16:47:39,000	86,000	-35,50	-34,75	-34,50	0,00	0,00	0,00
30.01.2017 16:47:40,000	87,000	-35,50	-34,75	-34,50	0,00	0,00	0,00
30.01.2017 16:47:41,000	88,000	-35,50	-34,75	-34,50	0,00	0,00	0,00
30.01.2017 16:47:42,000	89,000	-35,50	-34,75	-34,50	0,00	0,00	0,00
30.01.2017 16:47:43,000	90,000	-35,50	-34,75	-34,50	0,00	0,00	0,00
30.01.2017 16:47:44,000	91,000	-35,50	-34,75	-34,50	0,00	0,00	0,00
30.01.2017 16:47:45,000	92,000	-35,50	-34,75	-34,50	0,00	0,00	0,00
30.01.2017 16:47:46,000	93,000	-35,50	-34,75	-34,50	0,00	0,00	0,00
30.01.2017 16:47:47,000	94,000	-35,50	-34,75	-34,50	0,00	0,00	0,00
30.01.2017 16:47:48,000	95,000	-35,50	-34,75	-34,50	0,00	0,00	0,00
30.01.2017 16:47:49,000	96,000	-35,50	-34,75	-34,50	0,00	0,00	0,00
30.01.2017 16:47:50,000	97,000	-35,50	-34,75	-34,50	0,00	0,00	0,00
30.01.2017 16:47:51,000	98,000	-35,50	-34,75	-34,50	0,00	0,00	0,00
30.01.2017 16:47:52,000	99,000	-35,50	-34,75	-34,50	0,00	0,00	0,00
30.01.2017 16:47:53,000	100,000	-35,50	-34,75	-34,50	0,00	0,00	0,00
30.01.2017 16:47:54,000	101,000	-35,50	-34,75	-34,50	0,00	0,00	0,00
30.01.2017 16:47:55,000	102,000	-35,50	-34,75	-34,50	0,00	0,00	0,00
30.01.2017 16:47:56,000	103,000	-35,50	-34,75	-34,50	0,00	0,00	0,00
30.01.2017 16:47:57,000	104,000	-35,50	-34,75	-34,50	0,00	0,00	0,00
30.01.2017 16:47:58,000	105,000	-35,50	-34,75	-34,50	0,00	0,00	0,00
30.01.2017 16:47:59,000	106,000	-35,50	-34,75	-34,50	0,00	0,00	0,00
30.01.2017 16:48:00,000	107,000	-35,50	-34,75	-34,50	0,00	0,00	0,00
30.01.2017 16:48:01,000	108,000	-35,50	-34,75	-34,50	0,00	0,00	0,00
30.01.2017 16:48:02,000	109,000	-35,50	-34,75	-34,50	0,00	0,00	0,00
30.01.2017 16:48:03,000	110,000	-35,50	-34,75	-34,50	0,00	0,00	0,00
30.01.2017 16:48:04,000	111,000	-35,50	-34,75	-34,50	0,00	0,00	0,00
30.01.2017 16:48:05,000	112,000	-35,50	-34,75	-34,50	0,00	0,00	0,00
30.01.2017 16:48:06,000	113,000	-35,50	-34,75	-34,50	0,00	0,00	0,00
30.01.2017 16:48:07,000	114,000	-35,50	-34,75	-34,50	0,00	0,00	0,00
30.01.2017 16:48:08,000	115,000	-35,50	-34,75	-34,50	0,00	0,00	0,00
30.01.2017 16:48:09,000	116,000	-35,50	-34,75	-34,50	0,00	0,00	0,00
30.01.2017 16:48:10,000	117,000	-35,50	-34,75	-34,50	0,00	0,00	0,00
30.01.2017 16:48:11,000	118,000	-35,50	-34,75	-34,50	0,00	0,00	0,00
30.01.2017 16:48:12,000	119,000	-35,50	-34,75	-34,50	0,00	0,00	0,00
30.01.2017 16:48:13,000	120,000	-35,50	-34,75	-34,50	0,00	0,00	0,00
30.01.2017 16:48:14,000	121,000	-35,50	-34,75	-34,50	0,00	0,00	0,00
30.01.2017 16:48:15,000	122,000	-35,50	-34,75	-34,50	0,00	0,00	0,00
30.01.2017 16:48:16,000	123,000	-35,50	-34,75	-34,50	0,00	0,00	0,00
30.01.2017 16:48:17,000	124,000	-35,50	-34,75	-34,50	0,00	0,00	0,00
30.01.2017 16:48:18,000	125,000	-35,50	-34,75	-34,50	0,00	0,00	0,00
30.01.2017 16:48:19,000	126,000	-35,50	-34,75	-34,50	0,00	0,00	0,00
30.01.2017 16:48:20,000	127,000	-35,50	-34,75	-34,50	0,00	0,00	0,00
30.01.2017 16:48:21,000	128,000	-35,50	-34,75	-34,50	0,00	0,00	0,00
30.01.2017 16:48:22,000	129,000	-35,50	-34,75	-34,50	0,00	0,00	0,00
30.01.2017 16:48:23,000	130,000	-35,50	-34,75	-34,50	0,00	0,00	0,00
30.01.2017 16:48:24,000	131,000	-35,50	-34,75	-34,50	0,00	0,00	0,00
30.01.2017 16:48:25,000	132,000	-35,50	-34,75	-34,50	0,00	0,00	0,00
30.01.2017 16:48:26,000	133,000	-35,50	-34,75	-34,50	0,00	0,00	0,00
30.01.2017 16:48:27,000	134,000	-35,50	-34,75	-34,50	0,00	0,00	0,00
30.01.2017 16:48:28,000	135,000	-35,50	-34,75	-34,50	0,00	0,00	0,00
30.01.2017 16:48:29,000	136,000	-35,50	-34,75	-34,50	0,00	0,00	0,00
30.01.2017 16:48:30,000	137,000	-35,50	-34,75	-34,50	0,00	0,00	0,00
30.01.2017 16:48:31,000	138,000	-35,50	-34,75	-34,50	0,00	0,00	0,00
30.01.2017 16:48:32,000	139,000	-35,50	-34,75	-34,50	0,00	0,00	0,00
30.01.2017 16:48:33,000	140,000	-35,50	-34,75	-34,50	0,00	0,00	0,00
30.01.2017 16:48:34,000	141,000	-35,50	-34,75	-34,50	0,00	0,00	0,00
30.01.2017 16:48:35,000	142,000	-35,50	-34,75	-34,50	0,00	0,00	0,00
30.01.2017 16:48:36,000	143,000	-35,50	-34,75	-34,50	0,00	0,00	0,00
30.01.2017 16:48:37,000	144,000	-35,50	-34,75	-34,50	0,00	0,00	0,00
;Event 2 71 0: Ubat = 4,16V
;DL Temp 20,75°C
30.01.2017 16:51:02,000	145,000	-35,50	-34,75	-34,50	0,09	25,20	9,98
30.01.2017 16:51:03,000	146,000	-35,50	-34,75	-34,50	0,09	25,20	9,98
30.01.2017 16:51:04,000	147,000	-35,50	-34,75	-34,50	0,09	25,20	9,98
30.01.2017 16:51:05,000	148,000	-35,50	-34,75	-34,50	2,80	26,16	9,98
30.01.2017 16:51:06,000	149,000	-35,50	-34,75	-34,50	4,20	26,16	9,98
30.01.2017 16:51:07,000	150,000	-35,50	-34,75	-34,50	6,66	26,16	9,98
30.01.2017 16:51:08,000	151,000	-35,50	-34,75	-34,50	6,19	26,16	9,98
30.01.2017 16:51:09,000	152,000	-35,50	-34,75	-34,50	6,90	26,16	9,98
30.01.2017 16:51:10,000	153,000	-35,50	-34,75	-34,50	6,37	26,16	9,98
30.01.2017 16:51:11,000	154,000	-35,50	-34,75	-34,50	6,14	26,16	9,98
30.01.2017 16:51:12,000	155,000	-35,50	-34,75	-34,50	6,69	26,16	9,98
30.01.2017 16:51:13,000	156,000	-35,50	-34,75	-34,50	6,69	26,16	9,98
30.01.2017 16:51:14,000	157,000	-35,50	-34,75	-34,50	6,58	26,16	9,98
30.01.2017 16:51:15,000	158,000	-35,50	-34,75	-34,50	6,26	26,16	9,98
30.01.2017 16:51:16,000	159,000	-35,50	-34,75	-34,50	6,36	26,16	9,98
30.01.2017 16:51:17,000	160,000	-35,50	-34,75	-34,50	6,51	26,16	9,98
30.01.2017 16:51:18,000	161,000	-35,50	-34,75	-34,50	5,85	26,16	9,98
