;KDL1 S/N 21274 Software 6
;Operating Hours U1 = 0:22:51
;Operating Hours U2 = 0:35:25
;Operating Hours U3 = 0:29:15
;Activity Counter U1 = 164
;Activity Counter U2 = 31
;Activity Counter U3 = 18
;Event 2 70 0: Ubat = 4,11V
;DL Temp 23,50°C
30.01.2017 11:58:04,000	0,000	-32,25	-32,25	-32,25	0,03	23,64	0,09
30.01.2017 11:58:05,000	1,000	-32,25	-32,25	-32,25	0,03	23,64	0,09
30.01.2017 11:58:06,000	2,000	-32,25	-32,25	-32,25	0,03	23,64	0,09
30.01.2017 11:58:07,000	3,000	-32,25	-32,25	-32,25	0,03	25,32	0,09
30.01.2017 11:58:08,000	4,000	-32,25	-32,25	-32,25	0,03	25,32	0,09
30.01.2017 11:58:09,000	5,000	-32,25	-32,25	-32,25	0,03	23,52	0,09
30.01.2017 11:58:10,000	6,000	-32,25	-32,25	-32,25	0,03	23,04	0,09
30.01.2017 11:58:11,000	7,000	-32,25	-32,25	-32,25	0,03	0,32	0,09
30.01.2017 11:58:12,000	8,000	-32,25	-32,25	-32,25	0,03	0,32	0,09
30.01.2017 11:58:13,000	9,000	-32,25	-32,25	-32,25	0,03	0,32	0,09
30.01.2017 11:58:14,000	10,000	-32,25	-32,25	-32,25	0,03	0,32	0,09
30.01.2017 11:58:15,000	11,000	-32,25	-32,25	-32,25	0,03	0,32	0,09
30.01.2017 11:58:16,000	12,000	-32,25	-32,25	-32,25	0,03	0,32	0,09
30.01.2017 11:58:17,000	13,000	-32,25	-32,25	-32,25	0,03	0,32	0,09
30.01.2017 11:58:18,000	14,000	-32,25	-32,25	-32,25	0,03	0,32	0,09
30.01.2017 11:58:19,000	15,000	-32,25	-32,25	-32,25	0,03	0,32	0,09
30.01.2017 11:58:20,000	16,000	-32,25	-32,25	-32,25	0,03	0,32	0,09
30.01.2017 11:58:21,000	17,000	-32,25	-32,25	-32,25	0,03	0,32	0,09
30.01.2017 11:58:22,000	18,000	-32,25	-32,25	-32,25	0,03	0,32	0,09
30.01.2017 11:58:23,000	19,000	-32,25	-32,25	-32,25	0,03	0,32	0,09
30.01.2017 11:58:24,000	20,000	-32,25	-32,25	-32,25	0,03	0,32	0,09
30.01.2017 11:58:25,000	21,000	-32,25	-32,25	-32,25	0,03	0,32	0,09
30.01.2017 11:58:26,000	22,000	-32,25	-32,25	-32,25	0,03	0,32	0,09
30.01.2017 11:58:27,000	23,000	-32,25	-32,25	-32,25	0,03	0,32	0,09
